Organization_ID,Industry,Company_Size,Employee_Count,AI_Tool,Adoption_Year,Monthly_Users,Productivity_Gain_Percent,Satisfaction_Score,AI_Investment_USD,Cost_Savings_USD,Adoption_Level,ROI_Percent
ORG00041,IT,Large,8503,ChatGPT,2026,1846,20.11,7.7,1059898,1328039,Medium,25.3
ORG00042,Finance,Small,100,Gemini,2026,35,28.91,7.1,20220,29219,Medium,44.51
ORG00043,Retail,Large,7037,Perplexity,2026,1723,35.86,8.9,1853609,3170114,High,71.02
ORG00044,Education,Medium,722,Copilot,2026,252,16.42,8.7,203256,232542,High,14.41
ORG00045,Education,Small,190,Perplexity,2026,70,28.01,9.7,32647,30806,High,-5.64
ORG00046,Education,Large,2236,ChatGPT,2026,287,27.1,6.7,961754,2316140,Medium,140.82
ORG00047,Finance,Small,108,Claude,2026,38,16.78,8.9,32727,58029,High,77.31
ORG00048,Finance,Medium,618,Midjourney,2026,40,5.49,6.8,153541,154085,Low,0.35
ORG00049,Manufacturing,Medium,783,Perplexity,2026,320,17.43,8.5,133721,182821,Medium,36.72
ORG00050,Healthcare,Small,154,Copilot,2026,36,20.78,8.0,28948,69226,Medium,139.14
ORG00051,IT,Medium,340,Claude,2026,112,15.42,7.7,160598,259354,High,61.49
ORG00052,IT,Large,9879,Claude,2026,2907,40.62,7.3,991656,998862,Medium,0.73
ORG00053,Healthcare,Small,28,Claude,2026,5,9.18,6.0,25444,40189,High,57.95
ORG00054,IT,Medium,441,Midjourney,2026,184,3.52,7.6,158980,203914,Low,28.26
ORG00055,Retail,Large,1215,ChatGPT,2026,153,23.11,8.4,1414948,3289692,Low,132.5
ORG00056,Healthcare,Medium,392,ChatGPT,2026,6,18.85,8.1,211669,182347,Low,-13.85
ORG00057,Manufacturing,Medium,984,Midjourney,2026,476,10.14,4.7,210296,188697,High,-10.27
ORG00058,Retail,Medium,942,ChatGPT,2026,401,21.45,9.1,213959,400321,Low,87.1
ORG00059,Manufacturing,Medium,242,Copilot,2026,64,19.14,8.5,88608,218538,Medium,146.63
ORG00060,Retail,Small,20,Midjourney,2026,7,7.35,8.6,14861,14206,High,-4.41
ORG00061,Healthcare,Medium,634,Perplexity,2026,173,20.49,7.9,206816,216478,Medium,4.67
ORG00062,Education,Medium,441,Midjourney,2026,91,30.92,8.0,101498,168912,Medium,66.42
ORG00063,Manufacturing,Small,194,Copilot,2026,41,23.28,8.8,11034,16853,Medium,52.74
ORG00064,Healthcare,Small,130,Gemini,2026,30,5.42,6.2,42805,36868,Medium,-13.87
ORG00065,Education,Small,28,Copilot,2026,14,24.78,7.0,30760,58490,High,90.15
ORG00066,Finance,Medium,452,Midjourney,2026,167,22.05,10.0,89394,149436,High,67.17
ORG00067,Education,Large,8652,Perplexity,2026,1663,20.64,6.6,1131357,1509870,Low,33.46
ORG00068,Retail,Small,103,Claude,2026,12,24.93,7.2,44083,60306,Medium,36.8
ORG00069,Manufacturing,Medium,922,ChatGPT,2026,114,6.07,5.7,52936,75849,Low,43.28
ORG00070,Retail,Small,124,Midjourney,2026,44,41.36,8.0,27578,36641,High,32.86
ORG00071,Finance,Small,185,ChatGPT,2026,66,21.31,8.4,33839,57277,High,69.26
ORG00072,Education,Large,2493,Copilot,2026,561,14.9,9.1,1926520,2004954,Medium,4.07
ORG00073,Healthcare,Small,168,Gemini,2026,24,24.07,9.4,38989,41178,Low,5.61
ORG00074,Healthcare,Small,182,ChatGPT,2026,12,17.69,8.9,13665,22391,Low,63.86
ORG00075,Education,Large,8687,ChatGPT,2026,3149,20.57,7.2,1365780,2863952,Medium,109.69
ORG00076,Retail,Small,79,Claude,2026,22,26.45,7.9,46912,105478,High,124.84
ORG00077,Retail,Medium,296,Perplexity,2026,94,12.04,6.4,220054,325138,Low,47.75
ORG00078,Healthcare,Small,129,Claude,2026,23,20.72,6.7,19241,30053,Medium,56.19
ORG00079,Manufacturing,Small,88,Copilot,2026,39,14.8,7.7,17510,43233,High,146.9
ORG00080,Manufacturing,Large,5297,ChatGPT,2026,306,12.75,7.1,1151388,2617752,High,127.36
ORG00081,IT,Small,133,Gemini,2026,55,23.88,9.4,29889,73938,High,147.38
ORG00082,IT,Small,149,Perplexity,2026,73,11.75,7.0,5212,8508,Medium,63.24
ORG00083,Education,Large,3177,Midjourney,2026,426,17.38,9.0,970258,1692406,High,74.43
ORG00084,Finance,Small,185,Midjourney,2026,67,26.3,6.3,7477,14565,High,94.8
ORG00085,IT,Large,7658,Copilot,2026,898,27.71,7.8,1544005,1850813,Low,19.87
ORG00086,Manufacturing,Medium,886,Copilot,2026,299,25.77,6.9,102595,238285,Low,132.26
ORG00087,Finance,Large,5717,Claude,2026,331,42.39,7.0,859054,1549342,High,80.35
ORG00088,IT,Small,62,Copilot,2026,30,26.2,5.7,35569,77278,Medium,117.26
ORG00089,Finance,Small,111,Perplexity,2026,15,26.92,5.4,11156,16366,Low,46.7
ORG00090,IT,Small,104,Perplexity,2026,34,26.7,7.9,8708,13676,Medium,57.05
ORG00091,Finance,Small,178,Perplexity,2026,37,21.86,6.4,48164,61829,Medium,28.37
ORG00092,Education,Large,3115,ChatGPT,2026,469,1.48,8.4,785517,1501002,Low,91.08
ORG00093,Education,Small,43,Midjourney,2026,15,41.06,8.0,11994,25743,Medium,114.63
ORG00094,Manufacturing,Large,4945,Gemini,2026,256,18.52,6.9,1280787,2248665,Medium,75.57
ORG00095,Manufacturing,Large,8015,ChatGPT,2026,1180,20.03,8.6,1147281,2789747,Low,143.16
ORG00096,Finance,Small,17,Perplexity,2026,6,20.39,8.8,49307,43717,Medium,-11.34
ORG00097,Healthcare,Small,180,Claude,2026,17,14.72,8.2,36418,53534,Low,47.0
ORG00098,IT,Large,1014,Claude,2026,221,20.31,6.0,534496,730260,High,36.63
ORG00099,Retail,Large,5767,Midjourney,2026,964,31.02,4.8,705609,1140100,Medium,61.58
ORG00100,IT,Large,3054,Copilot,2026,77,13.04,8.0,1094602,1155649,Low,5.58
ORG00101,Manufacturing,Large,1808,Copilot,2026,432,28.22,8.5,266204,263028,Medium,-1.19
ORG00102,Retail,Medium,393,Claude,2026,36,22.79,8.6,187493,347331,High,85.25
ORG00103,Retail,Large,3620,Perplexity,2026,148,19.61,6.3,694961,1268874,High,82.58
ORG00104,Manufacturing,Small,78,Copilot,2026,15,25.54,9.0,29667,44614,Low,50.38
ORG00105,Retail,Small,149,Midjourney,2026,25,22.67,6.8,20591,41857,Medium,103.28
ORG00106,Education,Large,7647,ChatGPT,2026,665,22.1,7.7,508894,1006725,Medium,97.83
ORG00107,Finance,Large,3384,ChatGPT,2026,971,21.36,9.7,257013,461052,High,79.39
ORG00108,Education,Medium,917,ChatGPT,2026,138,20.79,6.6,83080,150438,Medium,81.08
ORG00109,Retail,Large,2707,Gemini,2026,840,29.97,8.8,281780,644039,Medium,128.56
ORG00110,Manufacturing,Small,126,Midjourney,2026,62,32.3,8.8,38824,81115,Medium,108.93
ORG00111,Retail,Medium,954,ChatGPT,2026,369,17.38,7.8,52493,78400,Medium,49.35
ORG00112,IT,Medium,911,Perplexity,2026,391,12.88,6.9,143759,163773,High,13.92
ORG00113,Finance,Small,75,Copilot,2026,7,7.11,7.5,26141,37757,High,44.44
ORG00114,Education,Medium,793,Perplexity,2026,317,12.98,7.0,239950,545040,Low,127.15
ORG00115,Manufacturing,Small,91,Midjourney,2026,42,19.31,9.8,38462,55429,Medium,44.11
ORG00116,Education,Small,178,Copilot,2026,83,28.81,6.7,20664,37670,Medium,82.3
ORG00117,Healthcare,Small,74,Midjourney,2026,6,24.23,7.5,21974,23663,High,7.69
ORG00118,IT,Small,74,Claude,2026,11,21.53,7.6,13918,17714,Low,27.27
ORG00119,IT,Medium,245,Perplexity,2026,33,21.63,7.8,143683,232556,Medium,61.85
ORG00120,Healthcare,Small,133,Midjourney,2026,60,20.23,7.4,15531,35572,High,129.04
ORG00121,Healthcare,Large,4193,Copilot,2026,894,13.25,7.8,1917748,2526811,High,31.76
ORG00122,Education,Medium,277,ChatGPT,2026,118,18.73,7.5,130511,139977,Medium,7.25
ORG00123,IT,Medium,791,Midjourney,2026,21,9.71,8.0,109206,228461,High,109.2
ORG00124,Retail,Small,49,Copilot,2026,8,11.78,7.6,15480,34659,Medium,123.9
ORG00125,Manufacturing,Small,45,Claude,2026,14,29.9,8.9,16036,36670,Low,128.67
ORG00126,IT,Small,110,Gemini,2026,30,15.06,7.6,18326,38878,Medium,112.15
ORG00127,Healthcare,Medium,514,Perplexity,2026,27,20.14,7.6,157313,159456,High,1.36
ORG00128,Education,Small,101,Claude,2026,10,12.79,7.4,21766,18524,High,-14.89
ORG00129,Education,Small,183,Gemini,2026,77,31.6,7.8,32365,55156,High,70.42
ORG00130,Finance,Medium,990,Copilot,2026,29,25.61,8.1,124175,171405,Medium,38.04
ORG00131,Healthcare,Medium,726,Perplexity,2026,195,21.98,8.0,174541,202523,Medium,16.03
ORG00132,Retail,Small,93,Midjourney,2026,10,19.95,6.6,29868,47162,Low,57.9
ORG00133,Manufacturing,Medium,597,Claude,2026,93,26.93,6.3,128585,261606,Medium,103.45
ORG00134,Retail,Medium,727,Perplexity,2026,307,9.75,7.8,172783,337403,Low,95.28
ORG00135,Finance,Small,65,Perplexity,2026,24,19.58,6.9,45161,59351,High,31.42
ORG00136,Education,Small,79,Gemini,2026,19,28.13,7.6,45243,105961,Medium,134.2
ORG00137,Healthcare,Small,142,Midjourney,2026,13,27.07,7.5,23367,22337,Medium,-4.41
ORG00138,Healthcare,Small,134,Midjourney,2026,20,33.54,6.9,44930,101679,Medium,126.31
ORG00139,Retail,Small,175,Perplexity,2026,65,19.31,8.2,17381,33841,Medium,94.7
ORG00140,Retail,Medium,362,ChatGPT,2026,61,4.56,7.5,203819,379778,High,86.33
ORG00141,Retail,Small,93,Copilot,2026,19,25.88,6.9,35844,81999,High,128.77
ORG00142,Healthcare,Large,4995,Midjourney,2026,837,29.79,8.3,824215,1545192,Low,87.47
ORG00143,Retail,Large,9590,Midjourney,2026,1121,14.35,8.0,1866780,3857673,Medium,106.65
ORG00144,Healthcare,Medium,810,Claude,2026,239,23.2,8.0,189966,235230,Medium,23.83
ORG00145,IT,Small,134,Claude,2026,33,31.06,6.7,41722,33910,High,-18.72
ORG00146,Manufacturing,Small,161,Gemini,2026,19,13.08,7.2,36495,91151,Low,149.76
ORG00147,Retail,Small,86,ChatGPT,2026,27,17.31,9.2,32885,30201,Medium,-8.16
ORG00148,Education,Large,8116,ChatGPT,2026,1721,10.82,5.6,641305,705310,Medium,9.98
ORG00149,IT,Medium,436,Copilot,2026,27,23.44,6.7,187232,467895,High,149.9
ORG00150,Healthcare,Large,1856,Claude,2026,625,31.04,8.2,810807,719520,Medium,-11.26
ORG00151,Healthcare,Medium,744,Midjourney,2026,267,15.64,9.1,216424,291442,Medium,34.66
ORG00152,IT,Large,8212,Gemini,2026,2194,22.63,8.9,717969,761760,Low,6.1
ORG00153,Finance,Small,53,Copilot,2026,20,16.0,7.2,5023,4315,Low,-14.1
ORG00154,Retail,Small,166,ChatGPT,2026,12,14.85,7.2,7932,17392,Medium,119.26
ORG00155,Manufacturing,Medium,670,Claude,2026,107,22.3,7.4,101490,210637,Low,107.54
ORG00156,Manufacturing,Small,79,ChatGPT,2026,10,27.52,8.1,34190,37598,High,9.97
ORG00157,Retail,Small,142,Claude,2026,17,24.18,6.8,49567,77465,High,56.28
ORG00158,Healthcare,Large,8875,Gemini,2026,3261,12.5,7.1,1045356,1350016,Medium,29.14
ORG00159,Retail,Medium,507,Copilot,2026,97,36.41,7.0,215709,190704,Medium,-11.59
ORG00160,Manufacturing,Small,102,Midjourney,2026,17,9.2,6.6,16635,24206,Medium,45.51
ORG00161,IT,Small,95,Gemini,2026,30,15.6,8.3,30384,24362,Medium,-19.82
ORG00162,Retail,Small,179,Claude,2026,9,34.25,8.7,42792,102290,Low,139.04
ORG00163,Finance,Medium,571,Gemini,2026,34,14.59,9.3,89097,86296,Low,-3.14
ORG00164,Retail,Small,90,Copilot,2026,19,16.61,6.6,34319,30679,Medium,-10.61
ORG00165,Manufacturing,Medium,534,ChatGPT,2026,18,20.51,6.6,91078,88319,Medium,-3.03
ORG00166,Retail,Small,31,ChatGPT,2026,19,21.64,9.0,13962,23655,Low,69.42
ORG00167,Retail,Small,21,Gemini,2026,17,17.39,8.2,19577,42492,Medium,117.05
ORG00168,Retail,Medium,982,Claude,2026,67,22.69,7.9,107956,193681,Medium,79.41
ORG00169,Manufacturing,Small,196,Claude,2026,45,32.22,6.3,9647,13599,Medium,40.97
ORG00170,Retail,Large,4883,Perplexity,2026,1388,20.63,5.6,1653603,2590830,Medium,56.68
ORG00171,Education,Medium,480,ChatGPT,2026,76,16.97,8.4,160879,232246,High,44.36
ORG00172,Healthcare,Small,41,Copilot,2026,17,18.42,7.4,43846,54264,High,23.76
ORG00173,IT,Medium,283,Perplexity,2026,130,34.3,9.2,183789,269659,Low,46.72
ORG00174,Manufacturing,Small,120,ChatGPT,2026,51,24.91,7.2,47106,97221,Medium,106.39
ORG00175,Retail,Medium,561,Claude,2026,238,24.0,5.9,51094,117204,Medium,129.39
ORG00176,Manufacturing,Small,117,ChatGPT,2026,56,4.97,7.8,24562,59960,High,144.12
ORG00177,Education,Small,186,Claude,2026,26,22.43,5.0,31742,69154,High,117.86
ORG00178,Finance,Medium,651,Perplexity,2026,259,0.0,7.1,232015,232311,High,0.13
ORG00179,Education,Small,144,Claude,2026,34,36.69,7.3,18670,31454,Low,68.47
ORG00180,Finance,Medium,752,Perplexity,2026,198,9.5,7.8,72720,115256,Low,58.49
ORG00181,Healthcare,Small,119,Claude,2026,17,6.98,6.2,13481,32495,High,141.04
ORG00182,Education,Small,163,ChatGPT,2026,37,43.69,7.2,31213,47735,Low,52.93
ORG00183,Education,Medium,495,Gemini,2026,131,40.48,7.9,248708,497379,Low,99.99
ORG00184,Retail,Large,9126,Midjourney,2026,2443,24.82,9.8,1583110,1685676,High,6.48
ORG00185,Healthcare,Medium,766,Gemini,2026,304,18.98,8.6,129446,316738,Medium,144.69
ORG00186,IT,Large,2704,ChatGPT,2026,1319,31.97,8.7,599819,1326219,High,121.1
ORG00187,Retail,Large,6637,Perplexity,2026,719,24.92,8.2,472136,813935,High,72.39
ORG00188,Finance,Medium,977,ChatGPT,2026,48,20.68,5.4,141331,207129,Low,46.56
ORG00189,Healthcare,Medium,779,ChatGPT,2026,335,16.62,9.3,139214,119696,High,-14.02
ORG00190,Education,Small,49,Copilot,2026,5,26.6,5.8,22259,26751,Low,20.18
ORG00191,Education,Small,38,Copilot,2026,16,27.56,7.8,13780,23608,High,71.32
ORG00192,Retail,Medium,361,Claude,2026,44,32.09,9.1,180378,172077,Medium,-4.6
ORG00193,Education,Large,8644,Gemini,2026,806,20.26,7.2,912042,1013073,Medium,11.08
ORG00194,Healthcare,Small,134,Midjourney,2026,16,27.24,8.4,41359,98944,Low,139.23
ORG00195,IT,Medium,624,Claude,2026,162,21.33,7.0,153909,383415,Medium,149.12
ORG00196,Education,Small,100,Copilot,2026,49,33.51,7.3,38027,33707,Medium,-11.36
ORG00197,Manufacturing,Large,3545,Midjourney,2026,1601,19.4,8.1,1082232,2058310,Medium,90.19
ORG00198,Education,Large,4853,Perplexity,2026,2330,36.28,7.9,1598398,3104332,Medium,94.22
ORG00199,Education,Small,129,Gemini,2026,40,22.32,6.0,41545,65703,Low,58.15
ORG00200,Education,Small,151,Copilot,2026,12,3.92,7.3,21827,27576,High,26.34
ORG00201,Manufacturing,Small,63,Midjourney,2026,9,25.6,8.2,13895,31969,Low,130.08
ORG00202,Finance,Small,144,Claude,2026,13,24.63,7.7,40441,53550,Medium,32.42
ORG00203,IT,Medium,319,Midjourney,2026,36,13.17,7.9,63986,132552,High,107.16
ORG00204,Finance,Small,95,Midjourney,2026,15,24.64,7.2,20283,29745,High,46.65
ORG00205,Retail,Small,44,Claude,2026,20,22.54,8.2,17276,22718,High,31.5
ORG00206,Finance,Large,3123,Claude,2026,959,19.48,5.2,888678,2219926,High,149.8
ORG00207,Education,Large,5538,Claude,2026,1300,30.63,8.9,1635040,1351964,Medium,-17.31
ORG00208,Education,Medium,595,Gemini,2026,236,12.68,9.9,202693,239745,High,18.28
ORG00209,Manufacturing,Large,7011,Gemini,2026,2882,19.91,8.5,1777596,2635863,High,48.28
ORG00210,Education,Small,125,Midjourney,2026,8,26.41,8.0,49754,56312,High,13.18
ORG00211,Healthcare,Small,21,Midjourney,2026,19,16.97,6.6,42535,46715,High,9.83
ORG00212,Manufacturing,Small,60,Claude,2026,29,12.83,6.4,18473,23452,Medium,26.95
ORG00213,Education,Small,197,Claude,2026,73,22.2,7.2,24463,51669,Low,111.21
ORG00214,Education,Small,168,Perplexity,2026,45,4.29,7.9,30739,35460,High,15.36
ORG00215,Healthcare,Small,36,Gemini,2026,13,9.03,4.7,22785,25542,Medium,12.1
ORG00216,Education,Large,4690,Copilot,2026,948,16.16,8.0,1171262,1757049,High,50.01
ORG00217,IT,Small,198,Gemini,2026,21,21.56,8.9,37841,60393,Medium,59.6
ORG00218,Manufacturing,Small,45,Copilot,2026,9,20.26,7.0,13650,17093,Medium,25.22
ORG00219,Education,Small,14,Claude,2026,8,26.26,10.0,47470,106301,Low,123.93
ORG00220,Manufacturing,Medium,228,Gemini,2026,97,31.4,7.7,136693,307107,Low,124.67
ORG00221,Education,Small,173,ChatGPT,2026,14,12.24,6.5,44034,92116,High,109.19
ORG00222,Finance,Medium,824,ChatGPT,2026,338,22.07,7.3,245046,506292,High,106.61
ORG00223,Education,Small,90,Copilot,2026,39,10.06,7.6,10302,17090,High,65.89
ORG00224,Healthcare,Large,4555,Midjourney,2026,433,26.29,7.0,1646815,2781888,High,68.93
ORG00225,Finance,Large,1071,Copilot,2026,354,23.03,10.0,1513213,2116207,High,39.85
ORG00226,Finance,Small,100,Copilot,2026,22,22.02,7.8,31882,68203,High,113.92
ORG00227,Healthcare,Large,8019,Copilot,2026,3748,20.18,5.6,777310,1423112,Low,83.08
ORG00228,Manufacturing,Small,167,Claude,2026,32,17.7,9.0,46304,41389,High,-10.61
ORG00229,Education,Small,169,Gemini,2026,46,28.98,6.9,22839,47379,High,107.45
ORG00230,Healthcare,Large,8799,Midjourney,2026,1018,25.28,6.9,771397,939322,Low,21.77
ORG00231,IT,Large,4983,Claude,2026,311,23.13,4.7,1492529,2542884,Medium,70.37
ORG00232,Retail,Small,95,ChatGPT,2026,10,17.35,4.8,5778,10305,High,78.35
ORG00233,IT,Large,7102,ChatGPT,2026,669,17.77,8.2,1863320,2161474,Low,16.0
ORG00234,IT,Large,2080,ChatGPT,2026,806,22.78,6.4,403465,720753,Medium,78.64
ORG00235,Manufacturing,Large,3767,Claude,2026,320,20.28,5.8,1367318,2133792,Low,56.06
ORG00236,Healthcare,Medium,574,Midjourney,2026,98,18.89,9.3,206283,460324,Medium,123.15
ORG00237,Finance,Large,8933,Midjourney,2026,2906,24.51,6.9,386053,451009,Medium,16.83
ORG00238,Healthcare,Medium,927,ChatGPT,2026,290,27.03,9.6,99741,183281,Low,83.76
ORG00239,IT,Medium,693,Claude,2026,153,16.96,6.2,184950,288452,Low,55.96
ORG00240,Manufacturing,Small,26,Copilot,2026,12,18.39,7.6,42462,68081,Medium,60.33
ORG00241,IT,Large,9368,ChatGPT,2026,1922,23.69,6.2,1110672,2281071,Medium,105.38
ORG00242,Finance,Large,5641,Copilot,2026,514,31.7,8.8,836037,1309217,Low,56.6
ORG00243,Manufacturing,Small,121,ChatGPT,2026,16,24.19,7.1,5025,10285,Low,104.68
ORG00244,Healthcare,Large,6129,Gemini,2026,1266,21.68,8.0,1941903,3671467,High,89.07
ORG00245,Finance,Small,57,Perplexity,2026,23,22.0,7.5,45760,102710,Medium,124.45
ORG00246,Healthcare,Small,52,ChatGPT,2026,16,18.3,8.3,35699,88657,Medium,148.35
ORG00247,Healthcare,Large,4617,Gemini,2026,2166,31.77,8.3,1882633,4171581,High,121.58
ORG00248,Retail,Large,4958,Copilot,2026,1358,27.98,7.6,1858802,2500916,Medium,34.54
ORG00249,Finance,Medium,660,Gemini,2026,176,19.93,9.3,177334,242421,Low,36.7
ORG00250,Finance,Large,2145,Gemini,2026,27,5.7,7.5,1974442,3439019,Medium,74.18
ORG00251,Retail,Small,58,Copilot,2026,24,19.61,8.3,34514,30834,High,-10.66
ORG00252,Education,Small,14,Claude,2026,17,27.24,6.2,28352,26142,High,-7.79
ORG00253,Retail,Small,114,Gemini,2026,47,27.43,7.1,13037,13754,High,5.5
ORG00254,Retail,Medium,727,Midjourney,2026,133,7.37,8.4,241936,389830,Low,61.13
ORG00255,Education,Small,29,Copilot,2026,8,18.35,7.6,20849,32245,High,54.66
ORG00256,Manufacturing,Large,6493,Midjourney,2026,800,30.2,6.6,637806,1164499,Low,82.58
ORG00257,Education,Small,119,Perplexity,2026,28,25.62,7.0,25470,56072,High,120.15
ORG00258,Retail,Small,48,Midjourney,2026,23,12.71,7.5,18663,39138,High,109.71
ORG00259,Retail,Large,2722,Copilot,2026,657,26.41,4.0,1213066,2236296,Medium,84.35
ORG00260,Manufacturing,Small,89,Copilot,2026,23,13.25,8.7,34820,78110,Medium,124.33
ORG00261,Finance,Small,186,Gemini,2026,69,13.86,8.5,48625,53350,High,9.72
ORG00262,Healthcare,Medium,571,Midjourney,2026,72,34.83,7.5,69581,156413,Medium,124.79
ORG00263,Finance,Large,2116,ChatGPT,2026,711,12.18,4.9,701314,740599,Medium,5.6
ORG00264,Finance,Small,138,ChatGPT,2026,59,22.45,7.8,23681,32433,Medium,36.96
ORG00265,Finance,Large,1317,Perplexity,2026,455,12.38,7.2,1031181,1028116,Low,-0.3
ORG00266,Manufacturing,Small,102,Gemini,2026,25,25.88,7.8,13418,13923,Medium,3.76
ORG00267,Healthcare,Medium,415,Copilot,2026,158,22.84,9.5,105927,152039,Low,43.53
ORG00268,Finance,Small,30,Perplexity,2026,12,23.37,6.8,20111,29006,Medium,44.23
ORG00269,IT,Small,130,Midjourney,2026,55,15.86,6.5,28181,27349,Low,-2.95
ORG00270,Manufacturing,Medium,953,Gemini,2026,442,25.14,7.9,99424,186420,High,87.5
ORG00271,IT,Small,79,Perplexity,2026,11,25.47,7.8,25022,34322,Medium,37.17
ORG00272,Healthcare,Large,1146,ChatGPT,2026,79,11.88,9.6,1146783,1843213,Low,60.73
ORG00273,IT,Large,9868,Perplexity,2026,3604,21.78,6.7,715166,1087205,High,52.02
ORG00274,Education,Small,105,Claude,2026,45,11.33,5.7,44640,56921,Medium,27.51
ORG00275,Finance,Medium,929,Claude,2026,263,18.05,8.3,245305,209200,Medium,-14.72
ORG00276,Manufacturing,Small,48,Gemini,2026,18,24.36,8.6,27813,38745,Medium,39.31
ORG00277,Finance,Small,29,Claude,2026,16,27.28,8.1,43368,101054,Medium,133.02
ORG00278,Healthcare,Small,17,Gemini,2026,14,24.93,8.2,47864,114526,High,139.27
ORG00279,Manufacturing,Medium,748,Copilot,2026,293,35.78,7.8,248561,418224,Medium,68.26
ORG00280,Retail,Small,43,Midjourney,2026,8,20.43,7.1,8305,8172,Medium,-1.6
ORG00281,Retail,Small,76,Claude,2026,16,11.71,7.5,17570,25560,Low,45.48
ORG00282,Healthcare,Small,72,ChatGPT,2026,20,23.27,8.7,15167,36074,Medium,137.85
ORG00283,Healthcare,Small,16,Claude,2026,6,23.56,8.3,39827,92492,High,132.23
ORG00284,Retail,Small,155,ChatGPT,2026,11,7.53,9.4,8062,17004,Medium,110.92
ORG00285,Finance,Small,137,ChatGPT,2026,52,17.9,9.2,39658,89494,Medium,125.66
